ENIAC coding system,1943
ENIAC Short Code,1946
Von Neumann and Goldstine graphing system,1946
ARC Assembly,1947
Plankalkül,1948
CPC Coding scheme,1948
Curry notation system,1948
Short Code,1949
assembly language,1949
Short Code,1950
Birkbeck Assembler,1950
G-code,1950
