Report Program Generator,1964
TRAC,1964
BASIC,1964
COWSEL,1964
PL/I,1964
MARK IV,1964
MIMIC,1964
Speakeasy,1964
IBM RPG II,1965
Atlas Autocode,1965
TELCOMP,1965
Euler,1966
