COMPOOL,1952
autocode,1952
A-0 System,1952
READ/PRINT,1953
Speedcoding,1953
Fortran,1954
MATRIX MATH,1954
autocode,1954
ARITH-MATIC,1954
Laning and Zierler system,1954
MATH-MATIC,1954
FLOW-MATIC,1955
