BACAIC,1955
Freiburger Code,1955
Sequentielle Formelübersetzung,1955
Internal Translator,1955
PRINT,1955
PACT,1955
Information Processing Language,1956
FORTRAN for the IBM 704,1956
Fortran,1957
UNICODE,1957
COMTRAN,1957
GEORGE,1957
